City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed (MPH),Date
Tuatapere,-46.13,167.69,60.4,75,24,21.27,1541183836
Palauig,15.44,119.9,76.28,100,48,3.15,1541183836
Bilma,18.69,12.92,74.71,17,0,4.38,1541183836
Saint Anthony,43.97,-111.68,53.96,63,90,24.16,1541181360
Cidreira,-30.17,-50.22,73.18,76,0,14.9,1541183837
Barrow,-38.31,-60.23,51.4,98,92,17.25,1541183837
Atuona,-9.8,-139.03,80.78,100,0,11.99,1541183838
Touros,-5.2,-35.46,85.51,66,0,15.46,1541183838
Mataura,-46.19,168.86,61.21,69,80,21.27,1541183838
Rafaela,-31.25,-61.49,86.5,57,0,11.32,1541183839
Port-Gentil,-0.72,8.78,80.6,83,40,8.05,1541181600
Ushuaia,-54.81,-68.31,51.8,43,75,17.22,1541181600
Bjorkelangen,59.88,11.57,38.93,100,80,2.71,1541183840
Hithadhoo,-0.6,73.08,82.49,100,88,12.77,1541183840
Chokurdakh,70.62,147.9,-1.8,59,68,3.04,1541183840
Albany,42.65,-73.75,62.06,86,90,4.38,1541182800
Lorengau,-2.02,147.27,80.87,100,76,7.74,1541183841
Marsh Harbour,26.54,-77.06,82.22,96,24,16.02,1541183716
Juneau,58.3,-134.42,33.8,95,75,3.04,1541181660
Cherskiy,68.75,161.3,-1.44,58,32,0.69,1541183842
Souillac,45.6,-0.6,50,81,0,4.7,1541181600
Basco,40.33,-91.2,55.4,62,75,5.82,1541182500
none,none,none,none,none,none,none,none
Alofi,-19.06,-169.92,71.6,94,90,6.93,1541181600
Sal,36.63,38.46,59.95,44,80,8.08,1541183843
none,none,none,none,none,none,none,none
Ancud,-41.87,-73.83,52.75,84,92,3.27,1541183844
Rudiskes,54.52,24.83,51.8,93,90,6.93,1541181000
Punta Arenas,-53.16,-70.91,60.8,36,75,11.41,1541181600
Tungor,53.39,142.95,36.59,86,20,11.21,1541183844
Puerto Ayora,-0.74,-90.35,77,65,75,9.17,1541181600
Rikitea,-23.12,-134.97,71.83,100,92,16.35,1541183845
Daund,18.46,74.58,76.19,59,80,6.29,1541183845
Arraial do Cabo,-22.97,-42.02,80.6,69,75,5.82,1541181600
none,none,none,none,none,none,none,none
Kapaa,22.08,-159.32,80.06,74,40,12.75,1541181360
Hobart,-42.88,147.33,42.8,81,75,20.8,1541181600
Nioro,13.79,-15.05,91.58,45,24,7.74,1541183846
Te Anau,-45.41,167.72,55.81,74,80,16.35,1541183847
Cape Town,-33.93,18.42,64.4,63,0,12.75,1541181600
Fereydunshahr,32.94,50.12,36.01,45,80,5.84,1541183847
Longyearbyen,78.22,15.63,23,73,75,20.8,1541181000
Saint-Philippe,45.36,-73.48,41,93,90,12.75,1541182260
Tasiilaq,65.61,-37.64,28.4,58,40,5.82,1541181000
Butaritari,3.07,172.79,84.97,100,0,10.65,1541183849
Kongolo,-5.39,27,72.91,84,48,3.49,1541183849
Nyurba,63.29,118.35,14.54,61,76,8.97,1541183849
Sorland,67.67,12.69,46.4,87,75,23.04,1541182800
none,none,none,none,none,none,none,none
Primorsko,42.27,27.75,59,77,90,8.05,1541183400
Alexandria,31.31,-92.44,64.94,50,1,4.16,1541181300
